"event","content","title"
"biden-democratic-vice-constitutional-president","US President Donald Trump has attacked Democrats' impeachment investigation into his conduct as ""very unpatriotic"".","https://www.bbc.co.uk/news/world-us-canada-50635902"
"musk-unsworth-cave-pedo-tweet","Two days later, Mr Musk wrote a series of tweets including one describing Mr Unsworth as a ""pedo guy"".","https://www.bbc.co.uk/news/world-us-canada-50653531"
"pension-retirement-france-system-public","After the summit, Mr Macron said that while Russia was a threat to Nato in some respects, in others the country could be a ""partner"".","https://www.bbc.co.uk/news/world-europe-50653597"
"berea","This is perhaps Berea's greatest feat - for its students, daily life is insulated from pending student debt.","https://www.bbc.co.uk/news/world-us-canada-50551565"
"change-climate-carbon-coal-emission","Calling climate change the ""defining issue of the generation"", the government promised to achieve net-zero emissions by 2050.","https://www.bbc.co.uk/news/world-us-canada-50592053"
"elm","More than 20 million trees died during the 1960s and 1970s from Dutch elm disease.","https://www.bbc.co.uk/news/science-environment-50519036"
"hackerone","Following the incident, HackerOne has paid $20,000 (ÂL15,224) to haxta4ok00 for exposing the flaw.","https://www.bbc.co.uk/news/technology-50670433"
"mcbeath-riley-water-river-travelling","The group and Ms McBeath-Riley's dog, Raya, had been travelling from Alice Springs to go on a hike when they became bogged in the Hugh River.","https://www.bbc.co.uk/news/world-australia-50639383"
"bloomberg","The Trump campaign says it will refuse credentials to reporters with Bloomberg News, the outlet owned by Democratic presidential hopeful Michael Bloomberg.","https://www.bbc.co.uk/news/world-us-canada-50637380"
"eddie","However, Eddie Stobart said only DBay's proposal had the support of the firm's banks.","https://www.bbc.co.uk/news/business-50684851"
"singer-song-artist-love-youtube","Joeboy gathered major attention with his love song Baby, which has had 18 million views in nine months on YouTube.","https://www.bbc.co.uk/news/world-africa-50689205"
"measles-vaccination-outbreak-vaccine-child","In order to stop measles spreading, 95% of children need to get the two doses of the vaccine.","https://www.bbc.co.uk/news/health-50659893"
"malta","""Malta needs to start a new chapter and only I can give that signal,"" Mr Muscat said.","https://www.bbc.co.uk/news/world-europe-50622652"
"rape-victim-killing-officer-police","Rape and sexual violence against women in India has received more attention since the widely-reported gang rape and murder of a student in the capital, Delhi, in 2012.","https://www.bbc.co.uk/news/world-50688435"
"cayman","The Cayman Islands government is confident the new facilities will boost cruise tourism - meaning more jobs for islanders.","https://www.bbc.co.uk/news/business-50647625"
"welfare","With such debate about animal welfare these days, can zoos still be a force for good?","https://www.bbc.co.uk/news/world-australia-50681771"
"mathias","This week we speak to Mathias Mikkelsen, founder of Norwegian tech company Memory.","https://www.bbc.co.uk/news/business-50644235"
"disability","How far will disability representation seep into mainstream storylines, and how many disabled staff will become permanent fixtures off screen?","https://www.bbc.co.uk/news/entertainment-arts-50631991"
"wto","That is not actually true but the remark is an indicator of how much he evidently dislikes the WTO.","https://www.bbc.co.uk/news/business-50681431"
"tariff","In Washington there have also been calls for a review of the US's preferential trade relationship with Cambodia.","https://www.bbc.co.uk/news/business-50388764"
"overdraft","But one analyst warned that steep overdraft rates could now become the ""new normal"".","https://www.bbc.co.uk/news/business-50666812"
"contraceptive","Researchers have developed a once-a-month oral contraceptive pill that they say would offer women more choice and control over their fertility.","https://www.bbc.co.uk/news/health-50644485"
"blaze","Fire crews from the US and Canada arrived in NSW this week to help tackle the blazes.","https://www.bbc.co.uk/news/world-australia-50680083"
"asteroid","Cameras operated by the Ondrejov Observatory in the Czech Republic recorded the fall of the Pribram meteorite, allowing the researchers to trace its orbit back to the asteroid belt.","https://www.bbc.co.uk/news/science-environment-50419924"
"indian-ocean-temperature-kenya-rain","This year's sea temperature difference between the western and eastern Indian Ocean has been record-breaking and rainfall in parts of Kenya has been much higher than normal.","https://www.bbc.co.uk/news/world-africa-50628420"
"uighur-xinjiang-bill-china-sanction","China, which denies any mistreatment of Uighurs, said the bill was an affront to its policies in Xinjiang and amounted to interference in its internal affairs.","https://www.bbc.co.uk/news/world-us-canada-50653864"
"tiger","Sumatran tigers are critically endangered, with fewer than 400 believed to be left in the wild.","https://www.bbc.co.uk/news/world-asia-50708858"
"retail","Poor Christmas sales have capsized many a High Street retailer in recent years, but Mr Putman is pinning his hopes on the chain's ""loyal fan base"" and the changes he has been making.","https://www.bbc.co.uk/news/business-49787061"
"invasive","A number of individual parks have addressed their unique issues with invasive species with some success.","https://www.bbc.co.uk/news/science-environment-50633580"
"data-user-recognition-tool-used","Such criticism used to focus on fears of data theft, hacking and abuses by commercial companies, he said.","https://www.bbc.co.uk/news/world-asia-china-50587098"
"trailer","Others made jokes about needing to pray after watching the trailer and listening to the Quran on repeat on Spotify.","https://www.bbc.co.uk/news/entertainment-arts-50691775"
"fund","Some investors have consistently wanted to cash out from many of the UK property funds during the year.","https://www.bbc.co.uk/news/business-50714866"
"missile-satellite-military-korea-north","Analysts believe that North Korea could launch a satellite if it does not obtain concessions from the US.","https://www.bbc.co.uk/news/world-asia-50703027"
"harassment","They confess that the women's revelations of the impact of street harassment has been eye-opening.","https://www.bbc.co.uk/news/world-africa-50606965"
"citizenship","""For all others about whom the bleeding hearts' are complaining, Indian citizenship laws are there.","https://www.bbc.co.uk/news/world-asia-india-50670393"
"concluded","The Italian tenor has been one of the stars of opera over the past decade, and was described by The New York Times in February as ""perhaps the most dependably exciting singer in opera"".","https://www.bbc.co.uk/news/entertainment-arts-50679181"
"bus-transport-electric-labour-october","There are 35,000 buses in England but only 700 are electric, and mostly in London, Labour said.","https://www.bbc.co.uk/news/business-50691088"
"germany-merkel-soviet-jewish-nazi","The T-34 was a tank that played a vital role in the Soviet Union's defeat of Nazi Germany in World War Two.","https://www.bbc.co.uk/news/world-europe-50643315"
"inquiry-strip-search-guardian-person","During the searches, none of the boys had a parent, guardian or support person present and no drugs were found, the inquiry heard.","https://www.bbc.co.uk/news/world-australia-50630020"
"sugar","For example, if the Starbucks Gingerbread Latte is made with almond milk instead of oat milk, the sugar content goes down by 4.5 teaspoons (18g).","https://www.bbc.co.uk/news/health-50628962"
"horn","South African Mike Horn and Norwegian Boerge Ousland have covered about 1,800km (1,120 miles) on treacherous drifting ice.","https://www.bbc.co.uk/news/world-europe-50671219"
"vw","""VW has had plenty of opportunity to come clean, make amends and move on from this highly damaging episode.","https://www.bbc.co.uk/news/business-50631823"
"personnel","Saudi pilots started training there in 1995, alongside other personnel from Italy, Singapore and Germany.","https://www.bbc.co.uk/news/world-us-canada-50701665"
"canada-canadian-resident-trudeau-concern","""In particular, I expressed my concern and the concern of all Canadians regarding the conditions of their detention,"" Francois-Philippe Champagne said.","https://www.bbc.co.uk/news/world-asia-china-50625483"
"agent","He said that retweeting ""foreign agent"" news would only make an individual a ""foreign agent"" too if he or she was also receiving foreign funding.","https://www.bbc.co.uk/news/world-europe-50643705"
"disney","Alexander Westwood, 19, a TV and film actor from Birmingham, thinks Disney may also have been trying to avoid toys becoming ""spoilers"" for the series.","https://www.bbc.co.uk/news/business-50656178"
"factory","They have been turned away, because the former refrigerator factory is full to its 2,000 capacity.","https://www.bbc.co.uk/news/world-europe-50700345"
"cat","Proceeds from the concert will go to mental health and suicide prevention charities.","https://www.bbc.co.uk/news/entertainment-arts-50680709"
"food","She says it instead occupies a ""blurred middle ground between traditional fast food in the UK, and what we consider casual dining"".","https://www.bbc.co.uk/news/business-50557696"
"enforcement","It will spend ÂL28m next year to carry out compliance and enforcement activities against firms paying workers below the legal minimum.","https://www.bbc.co.uk/news/business-50200217"
"performing","An Indian dancer has been hospitalised after being shot in the face because she stopped performing at a wedding.","https://www.bbc.co.uk/news/world-asia-india-50684475"
"bear","The polar bears normally live on Cape Schmidt, just 2.2 km (1.4 miles) from Ryrkaypiy.","https://www.bbc.co.uk/news/world-europe-50677161"
"steel","It is unclear to what extent a separate sale of the northern French steel mill would complicate Jingye's deal for the rest of the business.","https://www.bbc.co.uk/news/business-50671443"
"holiday","""We had no choice but to replace our holiday, because we would have lost so much otherwise,"" said Ms Hulme.","https://www.bbc.co.uk/news/business-50684434"
"response","The body can then use that immune response if it ever comes into contact with the real infection.","https://www.bbc.co.uk/news/business-49974477"
"november","The pair set off on 23 September and should have completed their trek in mid-November.","https://www.bbc.co.uk/news/world-europe-50705506"
"amazon","Now that they have carte blanche from Amazon, misbehaving arguably doesn't feel quite as fun.","https://www.bbc.co.uk/news/entertainment-arts-50516797"
"statement","""It's no exaggeration to say that his work transformed the continent,"" it said in a statement.","https://www.bbc.co.uk/news/world-africa-50702344"
